id,name,description
652354914,Oracle Evaluation,Auto-generated description for direct metric 'Oracle Evaluation'.
257258585,Oracle Prediction,Auto-generated description for direct metric 'Oracle Prediction'.
1368895025,Evaluation,Auto-generated description for direct metric 'Evaluation'.
1000250436,Passed Nr,Auto-generated description for direct metric 'Passed Nr'.
1543195164,Failed Nr,Auto-generated description for direct metric 'Failed Nr'.
1572688446,Error Nr,Auto-generated description for direct metric 'Error Nr'.
1563137397,Total,Auto-generated description for direct metric 'Total'.
1444044321,Tolerance,Auto-generated description for direct metric 'Tolerance'.
652354914,Oracle Evaluation,Auto-generated description for direct metric 'Oracle Evaluation'.
257258585,Oracle Prediction,Auto-generated description for direct metric 'Oracle Prediction'.
1368895025,Evaluation,Auto-generated description for direct metric 'Evaluation'.
1000250436,Passed Nr,Auto-generated description for direct metric 'Passed Nr'.
1543195164,Failed Nr,Auto-generated description for direct metric 'Failed Nr'.
1572688446,Error Nr,Auto-generated description for direct metric 'Error Nr'.
1563137397,Total,Auto-generated description for direct metric 'Total'.
1444044321,Tolerance,Auto-generated description for direct metric 'Tolerance'.
