id,name,description
1512268175,ageism,Auto-generated description for metric category 'ageism'.
552483868,sexism,Auto-generated description for metric category 'sexism'.
1388840442,racism,Auto-generated description for metric category 'racism'.
1095151386,religion,Auto-generated description for metric category 'religion'.
1924830183,classism,Auto-generated description for metric category 'classism'.
312584658,xenophobia,Auto-generated description for metric category 'xenophobia'.
285985469,lgtbiqphobia,Auto-generated description for metric category 'lgtbiqphobia'.
1512268175,ageism,Auto-generated description for metric category 'ageism'.
552483868,sexism,Auto-generated description for metric category 'sexism'.
1388840442,racism,Auto-generated description for metric category 'racism'.
1095151386,religion,Auto-generated description for metric category 'religion'.
1924830183,classism,Auto-generated description for metric category 'classism'.
312584658,xenophobia,Auto-generated description for metric category 'xenophobia'.
285985469,lgtbiqphobia,Auto-generated description for metric category 'lgtbiqphobia'.
