models,dataset
1420115128,1466179023
1420115128,1216566549
1420115128,204281548
1420115128,1925143713
1420115128,642339801
1420115128,132451611
1420115128,593848364
1420115128,3378033
1420115128,1871895060
1420115128,115456567
1420115128,1044855609
1420115128,932567266
1420115128,776151840
1420115128,1735377573
1420115128,452665838
1420115128,352669781
1420115128,683238211
1420115128,818100297
1420115128,324687157
1420115128,1636162929
1420115128,1407348039
1420115128,1595966214
1420115128,1202729198
1420115128,1221094435
1420115128,909215026
1420115128,55953947
1420115128,255163506
1420115128,499897897
1420115128,1819500752
1420115128,1856180341
1420115128,77667939
1420115128,500147035
1420115128,1666814507
1420115128,100452432
1420115128,20050471
1420115128,1538036345
1420115128,576315428
1420115128,421278667
1420115128,1564928280
1420115128,197279140
1420115128,1127577436
1420115128,322729674
1420115128,86921050
1420115128,403470215
1420115128,1226360596
1420115128,1348008040
1420115128,1561059844
1420115128,943837676
1420115128,1438190691
1420115128,1685288255
1420115128,1158124889
1420115128,1406039287
1420115128,211902019
1420115128,702733895
1420115128,1865061238
1420115128,146150564
1420115128,61434927
1420115128,1655135840
1420115128,1501475477
1420115128,736369969
1420115128,164125910
1420115128,793455883
1420115128,869842135
1420115128,953929530
1962720605,63846531
1962720605,1198462057
1962720605,817898626
1962720605,1225554703
1962720605,988657556
1962720605,591293980
1962720605,1597699985
1962720605,1969447644
1962720605,1790331243
1962720605,42763182
1962720605,1249207158
1962720605,1876776595
1962720605,1926587310
1962720605,427861685
1962720605,554663629
1962720605,1329457156
1962720605,249172582
1962720605,1541317187
1962720605,1125529780
1962720605,428498313
1962720605,1665648733
1962720605,1644590390
1962720605,1705797297
1962720605,707205218
1962720605,229705700
1962720605,126521253
1962720605,1084980049
1962720605,247175452
1962720605,1176530983
1962720605,1997254540
1962720605,1851836880
1962720605,359707855
1962720605,172115588
1962720605,1541768542
1962720605,796087045
1962720605,17605662
1962720605,220560677
1962720605,173088953
1962720605,660163898
1962720605,471234587
1962720605,773707205
1962720605,1264838241
1962720605,963350778
1962720605,673464830
1962720605,1148644977
1962720605,1943336971
1962720605,960350633
1962720605,1207536137
1962720605,1649870337
1962720605,1091326220
1962720605,535362441
1962720605,1671645669
1962720605,757986244
1962720605,1559571603
1962720605,1968221700
1962720605,996465155
1962720605,923171192
1962720605,1949553742
1962720605,864104089
1962720605,339435116
1962720605,418661918
1962720605,1437501258
1962720605,661316503
1962720605,178117126
1515629062,138662140
1515629062,461550051
1515629062,876975286
1515629062,266012220
1515629062,872095242
307970806,30981271
307970806,1315315548
307970806,80919717
307970806,425565612
307970806,529188340
307970806,826192912
307970806,651651697
307970806,1514349536
307970806,1817876132
307970806,61417549
307970806,1231733624
172527254,1464750307
172527254,1023030191
172527254,1508676872
172527254,653340894
172527254,1619097660
172527254,1908426208
172527254,101038697
172527254,532587992
172527254,704260470
172527254,192931166
172527254,620491175
172527254,1462892190
1519443551,1631330432
1519443551,76403066
1519443551,689166318
1519443551,378776821
1519443551,859539453
1519443551,1097415758
1091415177,138662140
1091415177,1866432467
1091415177,266012220
1091415177,872095242
1791211012,30981271
1791211012,1519793181
1791211012,731046410
1791211012,80919717
1791211012,1211743920
1791211012,826192912
1791211012,429104509
1791211012,919774716
1791211012,1817876132
1791211012,61417549
1791211012,483017790
493301492,1464750307
493301492,653408337
493301492,388801021
493301492,1023030191
493301492,1673796406
493301492,1905005402
493301492,274524446
493301492,250224154
493301492,265840007
493301492,211900217
493301492,1298994083
493301492,409893100
476661295,1426240490
476661295,791654377
476661295,1204427210
476661295,53729513
476661295,242280455
1462453383,449373816
1462453383,1579204577
1462453383,240110345
1462453383,1068765245
1462453383,1599479085
1462453383,1698991930
1462453383,1389573629
1462453383,772716059
1462453383,1445965278
1462453383,1738121902
1462453383,637785877
1462453383,416505075
1462453383,778574779
1462453383,504495117
1462453383,1798330220
1462453383,521235759
1462453383,1112842156
1878534715,30981271
1878534715,770609710
1878534715,1562846691
1878534715,80919717
1878534715,326376260
1878534715,174796458
1878534715,826192912
1878534715,575070017
1878534715,700710318
1878534715,1817876132
1878534715,1133311724
1878534715,801010702
1878534715,611385742
1878534715,752965560
1878534715,1295292329
1878534715,501473840
1878534715,551475837
1878534715,1292981159
1340411125,471312334
1340411125,107120435
1340411125,1415131456
1340411125,1817288936
1340411125,577199626
1340411125,583344100
1340411125,772010232
1340411125,211350245
1340411125,708961394
1340411125,1124758469
1340411125,1885811527
1340411125,1226026844
1340411125,1814951120
1340411125,1481352198
1340411125,1524686823
1340411125,1803654612
1340411125,1072481065
1340411125,1914278154
1527037995,30981271
1527037995,807879440
1527037995,80919717
1527037995,487454494
1527037995,826192912
1527037995,698089845
1527037995,1817876132
1527037995,61417549
665468455,561530090
665468455,1984345780
665468455,1023030191
665468455,1574890389
665468455,1051172424
665468455,1942428072
665468455,1908955137
665468455,530468475
578346112,30981271
578346112,728186811
578346112,80919717
578346112,1211743920
578346112,826192912
578346112,1514349536
578346112,1817876132
578346112,919379568
1283016932,1464750307
1283016932,1508676872
1283016932,1673796406
1283016932,1574890389
1283016932,772010232
1283016932,583507962
1283016932,1949139994
1283016932,1653873994
133636617,30981271
133636617,860184832
133636617,80919717
133636617,1228755617
133636617,826192912
133636617,1514349536
133636617,1817876132
133636617,1387491902
1336453398,1639947050
1336453398,653340894
1336453398,1673796406
1336453398,1023030191
1336453398,810411116
1336453398,196830878
1336453398,483900239
1336453398,449704423
995411295,30981271
995411295,860184832
995411295,80919717
995411295,1211743920
995411295,826192912
995411295,1416359767
995411295,1817876132
995411295,61417549
949915050,1508676872
949915050,596931041
949915050,1673796406
949915050,421177824
949915050,1024263631
949915050,1953825990
949915050,1428752953
1306265319,30981271
1306265319,80919717
1306265319,1327937346
1306265319,826192912
1306265319,429104509
1306265319,1817876132
1306265319,1133311724
673995630,1464750307
673995630,1673796406
673995630,1023030191
673995630,1024263631
673995630,437763049
673995630,1953825990
673995630,1932399298
1127664018,857307274
1127664018,1705226221
1127664018,855784594
1127664018,179661027
1127664018,771739265
1127664018,763937010
1127664018,1339988529
1127664018,687037833
1127664018,938471756
1127664018,1827370452
1127664018,194540654
1127664018,1237482304
1127664018,883584857
1127664018,362424535
1127664018,573228497
1127664018,425247251
1127664018,1367224317
1127664018,1039114320
1127664018,792721441
1127664018,319668585
1127664018,1085185900
1127664018,1389506745
1127664018,1572079220
1127664018,1725597558
1127664018,1281656255
1127664018,1363755255
1127664018,1212906915
1127664018,210929733
1127664018,923664094
1127664018,325084754
1127664018,565646369
1127664018,918314340
1127664018,1794437424
1127664018,1748297835
1127664018,407831650
1127664018,406122043
1127664018,641432469
1127664018,363514970
1127664018,846386710
1127664018,1298655413
1127664018,339188313
1127664018,1282204339
1127664018,1492357804
1127664018,1198357743
1127664018,560449184
1127664018,1756485537
1127664018,613796299
1127664018,1096683733
1127664018,1944487341
1127664018,52034520
1127664018,1478857049
1127664018,615055432
1127664018,1571857718
1127664018,152500798
1127664018,769205531
1127664018,752584311
1127664018,883025999
1127664018,258291572
1127664018,578135176
1127664018,964159531
922797637,72260134
922797637,1281462981
922797637,1904302582
922797637,1652164015
922797637,1268883938
922797637,1674158621
922797637,274116824
922797637,739002483
922797637,1855376024
922797637,914401173
922797637,1258968355
922797637,1513121060
922797637,1207142423
922797637,1292331746
922797637,26604597
922797637,278387602
922797637,451262921
922797637,663045556
922797637,1130894342
922797637,1714995584
922797637,1260531808
922797637,624341733
922797637,140527231
922797637,702921699
922797637,1651000154
922797637,1178585214
922797637,1867578667
922797637,1736639480
922797637,849578293
922797637,1216005540
922797637,371396740
922797637,677560666
922797637,447992751
922797637,549414822
922797637,1159975771
922797637,436200195
922797637,93290612
922797637,142505115
922797637,1143945563
922797637,1592908725
922797637,442780968
922797637,1648622145
922797637,1442843382
922797637,1686740088
922797637,1939561416
922797637,70678251
922797637,548868732
922797637,498941105
922797637,1560155053
922797637,1848489524
922797637,14750965
922797637,583070714
922797637,1625586248
922797637,722227081
922797637,654851238
922797637,802210810
922797637,739410756
922797637,1771494002
922797637,1678285652
922797637,661323996
1395612605,857307274
1395612605,1063331997
1395612605,855784594
1395612605,819868426
1395612605,771739265
1395612605,1428961233
1395612605,1339988529
1395612605,1983648909
1395612605,938471756
1395612605,1827370452
1395612605,194540654
1395612605,1237482304
1395612605,883584857
1395612605,1501150488
1395612605,573228497
1395612605,1322469456
1395612605,1367224317
1395612605,1643392089
1395612605,792721441
1395612605,319668585
1395612605,1085185900
1395612605,210733261
1395612605,1572079220
1395612605,1009077718
1395612605,1281656255
