"Provider";"Model";"Instance";"Response"
"test";"NuwacomAgent";"<property object at 0x709bd9123dd0>";"ERROR: 'Response' object has no attribute 'strip'"
"test";"NuwacomAgent";"<property object at 0x709bd9123dd0>";"ERROR: 'Response' object has no attribute 'strip'"
"test";"NuwacomAgent";"<property object at 0x709bd9123dd0>";"ERROR: 'Response' object has no attribute 'strip'"
"test";"NuwacomAgent";"<property object at 0x709bd9123dd0>";"ERROR: 'Response' object has no attribute 'strip'"
"test";"NuwacomAgent";"<property object at 0x709bd9123dd0>";"ERROR: 'Response' object has no attribute 'strip'"
"test";"NuwacomAgent";"<property object at 0x709bd9123dd0>";"ERROR: 'Response' object has no attribute 'strip'"
"test";"NuwacomAgent";"<property object at 0x709bd9123dd0>";"ERROR: 'Response' object has no attribute 'strip'"
"test";"NuwacomAgent";"<property object at 0x709bd9123dd0>";"ERROR: 'Response' object has no attribute 'strip'"
"test";"NuwacomAgent";"<property object at 0x709bd9123dd0>";"ERROR: 'Response' object has no attribute 'strip'"
"test";"NuwacomAgent";"<property object at 0x709bd9123dd0>";"ERROR: 'Response' object has no attribute 'strip'"
"test";"NuwacomAgent";"<property object at 0x709bd9123dd0>";"ERROR: 'Response' object has no attribute 'strip'"
"test";"NuwacomAgent";"<property object at 0x709bd9123dd0>";"ERROR: 'Response' object has no attribute 'strip'"
